keys,pt_BR,en
VOLTAR,"Voltar","Back"
SOM,"Som","Sound"
CRIADO_POR,"Criado por:","Created by:"
CONTATO,"Contato:","Contact:"
JOGAR,"Jogar","Play"
COMO_JOGAR,"Como Jogar","How to play"
CONFIGURAR,"Configurar","Configure"
SOBRE,"Sobre","About"
ITENS_TITULO,"Durante o jogo havera chances de aparecer alguns itens:","During the game there will be chances for some items to appear:"
RESTAURA_VIDA_DESC,"Restaura 10% de vida.","Restores 10% health."
CAFE_DESC,"Reduz a velocidade.","Reduces speed."
ESCUDO_DESC,"Ativa o escudo.","Activate the shield."
X2_DESC,"Multiplica os pontos x2.","Multiplies the points x2."
X3_DESC,"Multiplica os pontos x3.","Multiplies the points x3."
COMO_JOGAR_BASICO,"Resolva calculos para destruir os meteoros antes que caiam na terra.\n Selecione a conta na ordem correta e clique em atirar para validar. Contas podem ter quantas operacoes quiser \nantes ou depois do igual, porem apenas um igual.","Solve calculations to destroy meteors before they fall to earth.\nSelect the account in the correct order and click shoot to validate. Accounts can have as many operations as you want\nbefore or after the equal, but only one equal."
ANTE,"Ant.","Prev."
PROX,"Prox.","Next"
VIDA_M,"VIDA","HEALTH"
ATIRAR,"Atirar","Shoot"
FIM_DE_JOGO,"Fim de jogo","Game Over"
JOGAR_NOVAMENTE,"Jogar Novamente","Play Again"
TITULO_JOGO,"Matematica VS Meteoros","Math VS Meteors"
FIZ_TT,"Fiz","I scored"
PONTOS_TT,"pontos!","points!"
RECORD,"Melhor: ","Best: "
CONTINUAR,"Continuar","Resume"
SIM,"Sim","Yes"
NAO,"Nao","No"
VER_VIDEO,"Deseja assistir um video para ter mais uma chance?","Do you want to watch a video for another chance?"
